1	Сегодня	сегодня	R	R	R	10	обст
2	при	при	S	S	Sp-l	10	обст
3	прохождении	прохождение	N	N	Ncnsln	2	предл
4	плановой	плановый	A	A	Afpfslf	5	опред
5	ЭКГ	экг	N	N	Ncfsln	3	1-компл
6	в	в	S	S	Sp-l	5	атриб
7	поликлинике	поликлиника	N	N	Ncfsln	6	предл
8	№1	№1	M	M	Mc---d	7	атриб
9	,	,	,	,	,	8	PUNC
10	были	быть	V	V	Vmis-p-a-p	0	ROOT
11	зарегистрированы	зарегистрировать	V	V	Vmps-p-pse	10	пасс-анал
12	пробежки	пробежка	N	N	Ncfpnn	10	предик
13	желудочковой	желудочковый	A	A	Afpfsgf	14	опред
14	тахикардии	тахикардия	N	N	Ncfsgn	12	квазиагент
15	(	(	-	-	-	14	PUNC
16	по	по	S	S	Sp-l	12	атриб
17	5-7	#число	M	M	Mc---d	18	количест
18	комплексов	комплекс	N	N	Ncmpgn	16	предл
19	)	)	-	-	-	18	PUNC
20	,	,	,	,	,	18	PUNC
21	которые	который	P	P	P---pna	25	предик
22	больная	больная	N	N	Ncfsny	25	обст
23	никак	никак	P	P	P-----r	25	обст
24	не	не	Q	Q	Q	25	огранич
25	ощущает	ощущать	V	V	Vmip3s-a-p	18	разъяснит
