1	Последняя	последний	A	A	Afpfsnf	2	опред
2	госпитализация	госпитализация	N	N	Ncfsnn	8	предик
3	с	с	S	S	Sp-l	2	атриб
4	17.09.10	#пдата	M	M	Mc---d	3	предл
5	по	по	S	S	Sp-l	3	соотнос
6	29.09.10	#пдата	M	M	Mc---d	7	опред
7	г	г	N	N	Ncmsnnl	5	предл
8	в	в	S	S	Sp-a	0	ROOT
9	ГБСМП	гбсмп	N	N	Npmsan	8	предл
10	с	с	S	S	Sp-i	8	обст
11	диагнозом	диагноз	N	N	Ncmsin	10	предл
12	,	,	,	,	,	11	PUNC
13	ИБС	ибс	N	N	Npmsnn	11	аппоз
14	,	,	,	,	,	13	PUNC
15	прогрессирующая	прогрессировать	V	V	Vmpp-sfafpn	16	опред
16	стенокардия	стенокардия	N	N	Ncfsnn	8	предл
17	ПИКС	пикс	N	N	Npmsnn	8	дат-субъект
18	2006	#год	M	M	Mc---d	19	опред
19	г	город	N	N	Ncmsgn	17	атриб
