1	В	в	S	S	Sp-l	0	ROOT
2	2009	@card@	M	M	Mc---d	3	опред
3	году	год	N	N	Ncmsnnl	1	предл
4	стенокардия	стенокардия	N	N	Ncfsnn	0	ROOT
5	напряжения	напряжение	N	N	Ncnsgn	4	квазиагент
6	ФК	фк	N	N	Npfsgn	4	сочин
7	II	ii	M	M	Mo---d	6	опред
8	,	,	,	,	,	7	PUNC
9	гипертоническая	гипертонический	A	A	Afpfsnf	10	опред
10	болезнь	болезнь	N	N	Ncfsnn	13	предик
11	III	iii	M	M	Mo---d	10	опред
12	,	,	,	,	,	11	PUNC
13	риск	риск	N	N	Ncmsnn	6	сент-соч
14	4	@card@	M	M	Mc---d	13	нум-аппоз
15	,	,	,	,	,	14	PUNC
16	пароксизмальная	пароксизмальный	A	A	Afpfsnf	17	опред
17	формав	формава	N	N	Ncfsnn	13	сент-соч
18	ФП	фп	N	N	Npmsnn	17	1-компл

