Source,Target,Weight
0,7697,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
7697,7698,2
7697,7,2
7697,8,2
7697,7699,3
7697,9,3
7697,10,3
7697,11,3
7699,7700,4
7699,12,4
7702,7701,5
7700,7702,6
7700,13,6
7700,14,6
7700,15,6
7704,7703,3
7704,16,3
7699,7704,2
7699,17,2
7704,7705,7
7704,18,7
7704,19,7
7707,7706,5
7704,7707,8
7704,20,8
7704,21,8
7704,22,8
7704,23,8
7704,24,8
7707,7708,3
7708,7709,9
7708,25,9
7709,7710,6
7709,26,6
7712,7711,5
7710,7712,7
7710,27,7
7710,28,7
7710,29,7
7710,30,7
7710,31,7
2,7698,2
2,7,2
2,8,2
2,7699,3
2,9,3
2,10,3
2,11,3
3,7698,2
3,7,2
3,8,2
3,7699,3
3,9,3
3,10,3
3,11,3
4,7698,2
4,7,2
4,8,2
4,7699,3
4,9,3
4,10,3
4,11,3
5,7698,2
5,7,2
5,8,2
5,7699,3
5,9,3
5,10,3
5,11,3
6,7698,2
6,7,2
6,8,2
6,7699,3
6,9,3
6,10,3
6,11,3
9,7700,4
9,12,4
9,7704,2
9,17,2
10,7700,4
10,12,4
10,7704,2
10,17,2
11,7700,4
11,12,4
11,7704,2
11,17,2
13,7701,5
14,7701,5
15,7701,5
12,7702,6
12,13,6
12,14,6
12,15,6
17,7703,3
17,16,3
17,7705,7
17,18,7
17,19,7
17,7707,8
17,20,8
17,21,8
17,22,8
17,23,8
17,24,8
20,7706,5
20,7708,3
21,7706,5
21,7708,3
22,7706,5
22,7708,3
23,7706,5
23,7708,3
24,7706,5
24,7708,3
25,7710,6
25,26,6
27,7711,5
28,7711,5
29,7711,5
30,7711,5
31,7711,5
26,7712,7
26,27,7
26,28,7
26,29,7
26,30,7
26,31,7
8722,8721,3
8727,8722,10
8727,32,10
8727,33,10
8727,34,10
8724,8723,3
8724,35,3
8724,36,3
8724,37,3
8722,8724,11
8722,38,11
8722,39,11
8722,40,11
8722,41,11
8722,42,11
8724,8725,2
8724,43,2
8724,44,2
8727,8726,12
8727,45,12
0,8727,1
0,46,1
0,47,1
8729,8728,5
8727,8729,6
8727,8730,13
8727,48,13
8727,49,13
8727,50,13
8727,51,13
8727,52,13
8733,8731,4
8733,8732,12
8733,53,12
8730,8733,2
8730,54,2
32,8721,3
32,8724,11
32,38,11
32,39,11
32,40,11
32,41,11
32,42,11
33,8721,3
33,8724,11
33,38,11
33,39,11
33,40,11
33,41,11
33,42,11
34,8721,3
34,8724,11
34,38,11
34,39,11
34,40,11
34,41,11
34,42,11
46,8722,10
46,32,10
46,33,10
46,34,10
46,8726,12
46,45,12
46,8729,6
46,8730,13
46,48,13
46,49,13
46,50,13
46,51,13
46,52,13
47,8722,10
47,32,10
47,33,10
47,34,10
47,8726,12
47,45,12
47,8729,6
47,8730,13
47,48,13
47,49,13
47,50,13
47,51,13
47,52,13
38,8723,3
38,35,3
38,36,3
38,37,3
38,8725,2
38,43,2
38,44,2
39,8723,3
39,35,3
39,36,3
39,37,3
39,8725,2
39,43,2
39,44,2
40,8723,3
40,35,3
40,36,3
40,37,3
40,8725,2
40,43,2
40,44,2
41,8723,3
41,35,3
41,36,3
41,37,3
41,8725,2
41,43,2
41,44,2
42,8723,3
42,35,3
42,36,3
42,37,3
42,8725,2
42,43,2
42,44,2
54,8731,4
54,8732,12
54,53,12
48,8733,2
48,54,2
49,8733,2
49,54,2
50,8733,2
50,54,2
51,8733,2
51,54,2
52,8733,2
52,54,2
34,83,11
83,35,3
34,84,11
84,44,2
84,37,3
34,85,11
85,8725,2
34,86,11
34,87,11
34,88,11
34,89,11
34,90,11
34,91,11
34,92,11
34,93,11
34,94,11
34,95,11
34,96,11
34,97,11
34,98,11
34,99,11
34,100,11
34,101,11
0,102,1
102,9,3
0,103,1
103,8,2
103,11,3
0,104,1
104,7698,2
0,105,1
0,106,1
0,107,1
0,108,1
0,109,1
0,110,1
0,111,1
0,112,1
0,113,1
0,114,1
0,115,1
0,116,1
0,117,1
0,118,1
0,119,1
0,120,1
26,121,7
121,7711,5
25,122,6
122,30,7
