1	Первый	первый	M	M	Momsn	2	предик
2	был	быть	V	V	Vmis-sma-p	0	ROOT
3	около	около	S	S	Sp-g	2	присвяз
4	месяца	месяц	N	N	Ncmsgn	3	предл
5	назад	назад	R	R	R	2	обст
6	.	.	-	-	-	5	PUNC
7	приспут	приспут	V	V	Vmif3p-a-e	2	пасс-анал
8	ФП	фп	N	N	Npmsnn	7	1-компл
9	начался	начаться	V	V	Vmis-smm-e	2	сочин
10	около	около	S	S	Sp-g	9	1-компл
11	часа	час	N	N	Ncmsgn	10	предл
12	ночи	#времясуток	N	N	Ncfsgn	11	квазиагент
13	22.10.10	#пдата	-	-	-	15	предик
14	самостоятельно	самостоятельно	R	R	R	15	обст
15	дошла	дойти	V	V	Vmis-sfa-e	2	сент-соч
16	до	до	S	S	Sp-g	15	1-компл
17	станции	станция	N	N	Ncfsgn	16	предл
18	СМП	смп	N	N	Npmsan	17	аппоз
19	,	,	,	,	,	18	PUNC
20	откуда	откуда	P	P	P-----r	21	обст
21	была	быть	V	V	Vmis-sfa-p	15	сент-соч
22	доставлена	доставить	V	V	Vmps-sfpse	21	пасс-анал
23	в	в	S	S	Sp-l	22	обст
24	НИИ	нии	N	N	Ncmsln	23	предл
25	кардиологии	кардиология	N	N	Ncfsgn	24	1-компл
