5: [(5, 'года', '28129_2'), (4, '2010', '28129_2')]
40: [(40, 'года', '31371_14'), (39, '2010', '31371_14')]
95: [(95, 'года', '31371_2'), (94, '2004', '31371_2')]
124: [(124, 'года', '31371_3'), (123, '2008', '31371_3')]
128: [(128, 'года', '31371_5'), (127, '2009', '31371_5')]
140: [(140, 'года', '31371_6'), (139, '2010', '31371_6')]
290: [(290, 'году', '31585_0'), (289, '2007', '31585_0')]
301: [(301, 'года', '31585_1'), (300, '2007', '31585_1')]
326: [(326, 'год', '31586_3'), (325, '1974', '31586_3')]
337: [(337, 'году', '31588_4'), (336, '1974', '31588_4')]
387: [(387, 'года', '31635_2'), (386, '2007', '31635_2')]
414: [(414, 'года', '31635_5'), (413, '2008', '31635_5')]
430: [(430, 'года', '31635_6'), (429, '2009', '31635_6')]
452: [(452, 'года', '31635_7'), (451, '2009', '31635_7')]
488: [(488, 'года', '31736_0'), (487, '2004', '31736_0')]
498: [(498, 'году', '31736_1'), (497, '2004', '31736_1')]
509: [(509, 'года', '31736_14'), (508, '2010', '31736_14')]
526: [(526, 'году', '31736_4'), (525, '2005', '31736_4')]
547: [(547, 'году', '31736_5'), (546, '2005', '31736_5')]
555: [(555, 'году', '31736_6'), (554, '2005', '31736_6')]
595: [(595, 'году', '31736_8'), (594, '2009', '31736_8')]
610: [(610, 'году', '31737_0'), (609, '1983', '31737_0')]
616: [(616, 'году', '31737_0'), (615, '1992', '31737_0')]
625: [(625, 'году', '31737_1'), (624, '2005', '31737_1')]
669: [(669, 'года', '31833_3'), (668, '1981', '31833_3')]
672: [(672, 'год', '31833_3'), (671, '2004', '31833_3')]
689: [(689, 'году', '31833_4'), (688, '2004', '31833_4')]
717: [(717, 'году', '31833_8'), (716, '2007', '31833_8')]
732: [(732, 'года', '31834_4'), (731, '2007', '31834_4')]
739: [(739, 'году', '31837_0'), (738, '2004', '31837_0')]
761: [(761, 'года', '31917_6'), (760, '2007', '31917_6')]
797: [(797, 'года', '31920_3'), (796, '2008', '31920_3')]
817: [(817, 'года', '31920_3'), (816, '2010', '31920_3')]
828: [(828, 'года', '31920_4'), (827, '2008', '31920_4')]
840: [(840, 'года', '31920_5'), (839, '2008', '31920_5')]
877: [(877, 'года', '32191_3'), (876, '2010', '32191_3')]
