75: [(75, 'эндоскопическим', '31371_17')]
86: [(86, 'течение', '31371_18')]
354: [(354, 'течении', '31635_0')]
382: [(382, 'течении', '31635_0')]
855: [(855, 'течение', '32191_0')]
1090: [(1090, 'течение', '32452_0')]
1125: [(1125, 'течение', '32452_1')]
1183: [(1183, 'течение', '32499_0')]
1220: [(1220, 'течение', '32499_1')]
1336: [(1336, 'течении', '32716_0')]
1379: [(1379, 'течение', '32736_10')]
1477: [(1477, 'течении', '33155_0')]
1554: [(1554, 'течение', '33445_0')]
1814: [(1814, 'течении', '33924_6')]
1904: [(1904, 'течение', '34118_3')]
1972: [(1972, 'течение', '34268_2')]
1978: [(1978, 'течение', '34268_2')]
2145: [(2145, 'течение', '34598_9')]
2263: [(2263, 'течение', '34977_2')]
2871: [(2871, 'течении', '35338_6')]
3352: [(3352, 'течении', '36566_0')]
3467: [(3467, 'течение', '36735_1')]
3545: [(3545, 'течении', '36841_0')]
4069: [(4069, 'течение', '37669_0')]
4166: [(4166, 'течении', '37676_6')]
4250: [(4250, 'течении', '37804_1')]
4585: [(4585, 'течении', '38618_4')]
4660: [(4660, 'течении', '38674_6')]
