29: [(29, 'не', '31371_0')]
69: [(69, 'жительства', '31371_17')]
91: [(91, 'не', '31371_18')]
131: [(131, 'жительства', '31371_5')]
135: [(135, 'не', '31371_5')]
565: [(565, 'не', '31736_6')]
569: [(569, 'не', '31736_6')]
685: [(685, 'не', '31833_3')]
810: [(810, 'не', '31920_3')]
835: [(835, 'не', '31920_4')]
1330: [(1330, 'не', '32715_0')]
1484: [(1484, 'не', '33155_0')]
1902: [(1902, 'жительства', '34118_3')]
1914: [(1914, 'не', '34118_3')]
1984: [(1984, 'не', '34268_2')]
1987: [(1987, 'не', '34268_2')]
2121: [(2121, 'жительства', '34598_6')]
2187: [(2187, 'не', '34694_6')]
2214: [(2214, 'не', '34695_0')]
2251: [(2251, 'не', '34697_0')]
2258: [(2258, 'не', '34697_0')]
2269: [(2269, 'не', '34977_2')]
2271: [(2271, 'не', '34977_2')]
2509: [(2509, 'не', '35073_4')]
2640: [(2640, 'не', '35083_9')]
3225: [(3225, 'жительства', '35882_6')]
3374: [(3374, 'не', '36615_4')]
3459: [(3459, 'Не', '36735_1')]
3539: [(3539, 'не', '36840_0')]
3636: [(3636, 'не', '36920_6')]
3737: [(3737, 'не', '37462_106')]
3788: [(3788, 'не', '37462_126')]
3850: [(3850, 'не', '37462_41')]
4137: [(4137, 'не', '37672_1')]
4395: [(4395, 'не', '37918_3')]
4491: [(4491, 'не', '38563_0')]
4566: [(4566, 'не', '38565_1')]
4741: [(4741, 'Не', '38729_4')]
4746: [(4746, 'не', '38729_4')]
4755: [(4755, 'не', '38729_9')]
4961: [(4961, 'не', '38748_20')]
4980: [(4980, 'не', '38748_3')]
