187: [(187, '19.07.2010', '31372_5')]
323: [(323, '12.11.2007', '31586_2')]
641: [(641, '19.09.10', '31790_0')]
643: [(643, '20.09.2010', '31790_2')]
995: [(995, '19.09.2010', '32295_0')]
997: [(997, '22.09.2010', '32295_4')]
1038: [(1038, '22.07.10', '32384_3')]
1040: [(1040, '28.07.10', '32384_3')]
1054: [(1054, '22.09.2010', '32384_8')]
1158: [(1158, '11.09.10', '32452_3')]
1167: [(1167, '19.09.10', '32452_4')]
1231: [(1231, '21.07.10', '32499_2')]
1242: [(1242, '26.07.10', '32499_2')]
1244: [(1244, '20.09.10', '32499_5')]
1251: [(1251, '20.09.10', '32499_6')]
1253: [(1253, '22.09.10', '32499_6')]
1269: [(1269, '22.09.10', '32499_7')]
1307: [(1307, '26.12.2009', '32639_4')]
1328: [(1328, '23.09.2010', '32715_0')]
1514: [(1514, '13.04.10', '33362_2')]
1516: [(1516, '06.05.10', '33362_2')]
1530: [(1530, '26.09.10', '33362_5')]
1602: [(1602, '22.09.10', '33445_4')]
1604: [(1604, '26.09.10', '33445_4')]
1695: [(1695, '10.06.10', '33504_7')]
1697: [(1697, '26.09.10', '33504_7')]
1717: [(1717, '26.09.10', '33504_8')]
1752: [(1752, '26.09.10', '33897_0')]
1831: [(1831, '26.09.10', '34075_1')]
2061: [(2061, '03.09.2010', '34270_2')]
2362: [(2362, '20.11.06', '35073_18')]
2387: [(2387, '28.11.07', '35073_19')]
2410: [(2410, '6.12.07', '35073_20_1')]
2435: [(2435, '17.06.08', '35073_24')]
2437: [(2437, '2.07.08', '35073_24')]
2452: [(2452, '6.12.07', '35073_29')]
2470: [(2470, '1.03.2000', '35073_3_1')]
2784: [(2784, '15.06.10', '35278_4')]
2804: [(2804, '11.06.10', '35278_6')]
2827: [(2827, '17.06.10', '35278_7')]
2976: [(2976, '23.06.2008', '35628_10')]
3072: [(3072, '4.03.2008', '35628_5')]
3095: [(3095, '19.03.2008', '35628_6')]
3102: [(3102, '14.03.08', '35628_7')]
3128: [(3128, '30.09.10', '35853_0')]
3324: [(3324, '12.08.10', '35972_7')]
3501: [(3501, '27.08.10', '36762_5')]
3528: [(3528, '1.10.10', '36840_0')]
3630: [(3630, '2.10.10', '36920_6')]
3712: [(3712, '31.08.08', '37462_102')]
3825: [(3825, '31.08.08', '37462_37')]
4017: [(4017, '18.12.06', '37536_12')]
4022: [(4022, '16.01.07', '37536_13')]
4200: [(4200, '4.10.10', '37717_0')]
4218: [(4218, '30.09.2010', '37787_1')]
4226: [(4226, '04.10.10', '37804_0')]
4572: [(4572, '04.10.10', '38618_0')]
4604: [(4604, '24.08.10', '38618_5')]
4690: [(4690, '5.10.2010', '38728_10')]
