1021: [(1021, 'ã', '32384_1'), (1020, '1990', '32384_1')]
1109: [(1109, 'ã', '32452_1'), (1108, '2004', '32452_1')]
1203: [(1203, 'ã', '32499_1'), (1202, '2009', '32499_1')]
1284: [(1284, 'ã', '32500_2'), (1283, '1997', '32500_2')]
1491: [(1491, 'ã', '33362_0'), (1490, '2006', '33362_0')]
1499: [(1499, 'ã', '33362_1'), (1498, '2010', '33362_1')]
1576: [(1576, 'ã', '33445_1'), (1575, '2006', '33445_1')]
1732: [(1732, 'ã', '33506_4'), (1731, '2000', '33506_4')]
1736: [(1736, 'ã', '33639_0'), (1735, '2004', '33639_0')]
1836: [(1836, 'ã', '34078_3'), (1835, '1998', '34078_3')]
1845: [(1845, 'ã', '34078_4'), (1844, '2002', '34078_4')]
2165: [(2165, 'ã', '34694_1'), (2164, '2000', '34694_1')]
2176: [(2176, 'ã', '34694_4'), (2175, '2007', '34694_4')]
2206: [(2206, 'ã', '34695_0'), (2205, '2004', '34695_0')]
2233: [(2233, 'ã', '34695_9'), (2232, '1971', '34695_9')]
2339: [(2339, 'ã', '35073_13'), (2338, '2006', '35073_13')]
2342: [(2342, 'ã', '35073_17'), (2341, '2006', '35073_17')]
2403: [(2403, 'ã', '35073_2'), (2402, '2000', '35073_2')]
2546: [(2546, 'ã', '35073_7'), (2545, '2003', '35073_7')]
2698: [(2698, 'ã', '35278_0'), (2697, '2003', '35278_0')]
2730: [(2730, 'ã', '35278_1'), (2729, '2007', '35278_1')]
2743: [(2743, 'ã', '35278_1'), (2742, '2009', '35278_1')]
2995: [(2995, 'ã', '35628_12'), (2994, '2005', '35628_12')]
3159: [(3159, 'ã', '35854_6'), (3158, '1991', '35854_6')]
4423: [(4423, 'ã', '38171_0'), (4422, '2003', '38171_0')]
4431: [(4431, 'ã', '38171_1'), (4430, '2004', '38171_1')]
4440: [(4440, 'ã', '38171_3'), (4439, '2005', '38171_3')]
4457: [(4457, 'ã', '38172_3'), (4456, '2005', '38172_3')]
4778: [(4778, 'ã', '38748_10'), (4777, '2005', '38748_10')]
4873: [(4873, 'ã', '38748_16'), (4872, '2006', '38748_16')]
