232: [(232, 'себя', '31558_0')]
351: [(351, 'себя', '31635_0')]
484: [(484, 'себя', '31736_0')]
694: [(694, 'сидя', '31833_4')]
741: [(741, 'себя', '31917_0')]
852: [(852, 'себя', '32191_0')]
935: [(935, 'СМП', '32217_0')]
1064: [(1064, 'СМП', '32384_8')]
1087: [(1087, 'себя', '32452_0')]
1180: [(1180, 'себя', '32499_0')]
1329: [(1329, 'СМП', '32715_0')]
1333: [(1333, 'себя', '32716_0')]
1409: [(1409, 'себя', '32867_0')]
1487: [(1487, 'себя', '33362_0')]
1551: [(1551, 'себя', '33445_0')]
1758: [(1758, 'СМП', '33897_0')]
1782: [(1782, 'себя', '33924_0')]
1940: [(1940, 'себя', '34268_0')]
2167: [(2167, 'СМП', '34694_1')]
2307: [(2307, 'себя', '35073_1')]
2643: [(2643, 'себя', '35215_0')]
2845: [(2845, 'себя', '35338_0')]
2891: [(2891, 'себя', '35568_0')]
3146: [(3146, 'себя', '35854_0')]
3171: [(3171, 'себя', '35882_0')]
3274: [(3274, 'себя', '35972_0')]
3349: [(3349, 'себя', '36566_0')]
3484: [(3484, 'себя', '36762_0')]
3530: [(3530, 'СМП', '36840_0')]
3542: [(3542, 'себя', '36841_0')]
3553: [(3553, 'себя', '36920_0')]
3655: [(3655, 'себя', '37374_0')]
3821: [(3821, 'СМП', '37462_27')]
3874: [(3874, 'СМП', '37462_5')]
3912: [(3912, 'СМП', '37462_70')]
3955: [(3955, 'СМП', '37462_92')]
4140: [(4140, 'себя', '37676_0')]
4247: [(4247, 'себя', '37804_1')]
4260: [(4260, 'СМП', '37804_1')]
4290: [(4290, 'себя', '37918_0')]
4419: [(4419, 'себя', '38171_0')]
4582: [(4582, 'себя', '38618_4')]
4594: [(4594, 'СМП', '38618_4')]
4617: [(4617, 'себя', '38674_0')]
