93: [(93, 'С', '31371_2'), (95, 'года', '31371_2'), (94, '2004', '31371_2')]
486: [(486, 'с', '31736_0'), (488, 'года', '31736_0'), (487, '2004', '31736_0')]
667: [(667, 'С', '31833_3'), (669, 'года', '31833_3'), (668, '1981', '31833_3')]
730: [(730, 'с', '31834_4'), (732, 'года', '31834_4'), (731, '2007', '31834_4')]
960: [(960, 'С', '32217_3'), (962, 'года', '32217_3'), (961, '2009', '32217_3')]
1942: [(1942, 'с', '34268_0'), (1944, 'года', '34268_0'), (1943, '1989', '34268_0')]
2273: [(2273, 'С', '34977_3'), (2275, 'года', '34977_3'), (2274, '2006', '34977_3')]
2580: [(2580, 'с', '35075_1'), (2582, 'года', '35075_1'), (2581, '2000', '35075_1')]
2990: [(2990, 'с', '35628_11'), (2992, 'года', '35628_11'), (2991, '1997', '35628_11')]
3013: [(3013, 'С', '35628_16'), (3015, 'года', '35628_16'), (3014, '2008', '35628_16')]
3163: [(3163, 'с', '35854_8'), (3165, 'года', '35854_8'), (3164, '2009', '35854_8')]
3173: [(3173, 'с', '35882_0'), (3175, 'года', '35882_0'), (3174, '1971', '35882_0')]
3212: [(3212, 'С', '35882_6'), (3214, 'года', '35882_6'), (3213, '2005', '35882_6')]
3970: [(3970, 'С', '37535_0'), (3972, 'года', '37535_0'), (3971, '1998', '37535_0')]
4464: [(4464, 'с', '38305_0'), (4466, 'года', '38305_0'), (4465, '1985', '38305_0')]
4472: [(4472, 'с', '38305_0'), (4474, 'года', '38305_0'), (4473, '2006', '38305_0')]
4484: [(4484, 'с', '38563_0'), (4486, 'года', '38563_0'), (4485, '1994', '38563_0')]
4507: [(4507, 'С', '38563_3'), (4509, 'года', '38563_3'), (4508, '2009', '38563_3')]
4854: [(4854, 'С', '38748_15'), (4856, 'года', '38748_15'), (4855, '2007', '38748_15')]
4929: [(4929, 'С', '38748_2'), (4931, 'года', '38748_2'), (4930, '2000', '38748_2')]
