297: [(297, 'предсердий', '31585_0')]
724: [(724, 'предсердий', '31833_8')]
728: [(728, 'предсердий', '31833_8')]
779: [(779, 'предсердий', '31920_0')]
964: [(964, 'предсердий', '32217_3')]
1077: [(1077, 'предсердий', '32384_9')]
1146: [(1146, 'предсердий', '32452_2')]
1304: [(1304, 'предсердий', '32639_1')]
1392: [(1392, 'предсердий', '32809_0')]
1418: [(1418, 'предсердий', '32867_0')]
1446: [(1446, 'предсердий', '32867_5')]
1634: [(1634, 'предсердий', '33504_0')]
1859: [(1859, 'предсердий', '34118_0')]
2084: [(2084, 'предсердий', '34598_4')]
2777: [(2777, 'предсердий', '35278_4')]
3360: [(3360, 'предсердий', '36566_0')]
3458: [(3458, 'предсердий', '36732_1')]
3976: [(3976, 'предсердий', '37535_0')]
3987: [(3987, 'предсердий', '37535_4')]
4177: [(4177, 'предсердий', '37676_6')]
4212: [(4212, 'предсердий', '37717_0')]
4216: [(4216, 'предсердий', '37787_1')]
4412: [(4412, 'предсердий', '37918_4')]
4476: [(4476, 'предсердий', '38305_0')]
4596: [(4596, 'самостоятельным', '38618_4')]
4956: [(4956, 'предсердий', '38748_20')]
