1	Гипертоническая	гипертонический	A	A	Afpfsnf	2	опред
2	болезнь	болезнь	N	N	Ncfsnn	7	предик
3	II	ii	M	M	Mo---d	4	опред
4	ст	столб	N	N	Ncmsgn	2	квазиагент
5	.	.	-	-	-	4	PUNC
6	,	,	,	,	,	4	PUNC
7	остеохондроз	остеохондроз	N	N	Ncmsny	0	ROOT
8	позвоночника	позвоночник	N	N	Ncmsgn	7	1-компл
9	,	,	,	,	,	8	PUNC
10	состояние	состояние	N	N	Ncnsnn	7	аппоз
11	после	после	S	S	Sp-l	10	атриб
12	холецистэктомии(2001	холецистэктомии(2001	M	M	Mc---d	13	опред
13	г	г	N	N	Ncmsnnl	11	предл
14	)	)	-	-	-	13	PUNC
