1	В	в	S	S	Sp-a	6	обст
2	последнее	последний	A	A	Afpnsaf	3	опред
3	время	время	N	N	Ncnsan	1	предл
4	пациент	пациент	N	N	Ncmsny	6	предик
5	принимает	принимать	V	V	Vmip3s-a-p	6	опред
6	энап	энап	N	N	Ncmsnn	0	ROOT
7	,	,	,	,	,	6	PUNC
8	кордарон(около	около	N	N	Ncmsnn	6	предик
9	трех	#число	M	M	Mc--g	10	количест
10	лет	год	N	N	Ncmpgn	8	атриб
11	)	)	-	-	-	10	PUNC
12	,	,	,	,	,	10	PUNC
13	конкор	конкор	N	N	Ncmsnn	8	аппоз
14	,	,	,	,	,	13	PUNC
15	кардиомагнил	кардиомагнить	V	V	Vmis-sma-p	6	вводн
