1	Сегодня	сегодня	R	R	R	4	обст
2	на	на	S	S	Sp-l	4	обст
3	ЭКГ	экг	N	N	Npfsln	2	предл
4	зарегистрирована	зарегистрировать	V	V	Vmps-sfpse	0	ROOT
5	фибрилляция	фибрилляция	N	N	Ncfsnn	4	предик
6	предсердий	предсердие	N	N	Ncfpgn	5	квазиагент
7	,	,	,	,	,	6	PUNC
8	время	время	N	N	Ncnsan	11	1-компл
9	начала	начало	N	N	Ncnsgn	8	1-компл
10	приступа	приступ	N	N	Ncmsgn	9	квазиагент
11	сказать	сказать	V	V	Vmn----a-e	4	1-компл
12	не	не	Q	Q	Q	13	огранич
13	может	мочь	V	V	Vmip3s-a-p	0	ROOT
14	.	.	-	-	-	13	PUNC
