1	Последний	последний	A	A	Afpmsnf	2	опред
2	рецидив	рецидив	N	N	Ncmsnn	9	предик
3	трепетания	трепетание	N	N	Ncnsgn	2	1-компл
4	предсердий	предсердие	N	N	Ncfpgn	3	1-компл
5	с	с	S	S	Sp-i	2	атриб
6	15	#число	M	M	Mc---d	5	предл
7	сентября	#месяц	N	N	Ncmsgn	6	атриб
8	2010	#год	M	M	Mc---d	7	предл
9	до	до	S	S	Sp-l	0	ROOT
10	07.10.2010	#пдата	M	M	Mc---d	9	предл
11	.	.	-	-	-	10	PUNC
12	,	,	,	,	,	10	PUNC
13	тахиситолия	тахиситолия	N	N	Ncfsnn	9	сент-соч
14	117	#число	M	M	Mc---d	15	количест
15	уд	уд	N	N	Ncmsnn	13	предик
16	в	в	S	S	Sp-a	15	распред
17	минуту	минута	N	N	Ncfsan	16	предл
