1	Живет	жить	V	V	Vmip3s-a-p	0	ROOT
2	в	в	S	S	Sp-l	1	1-компл
3	благоустроенной	благоустроенный	A	A	Afpfslf	4	опред
4	квартире	квартира	N	N	Ncfsln	2	предл
5	с	с	S	S	Sp-i	4	атриб
6	женой	жена	N	N	Ncfsiy	5	предл
7	и	и	C	C	C	6	сочин
8	2	#число	M	M	Mc---d	9	количест
9	деотьми	деотемь	N	N	Ncmsgn	7	соч-союзн
10	(	(	-	-	-	9	PUNC
11	20	#число	M	M	Mc---d	14	количест
12	и	и	C	C	C	11	сочин
13	25	#число	M	M	Mc---d	12	соч-союзн
14	лет	год	N	N	Ncmpgn	9	примыкат
15	)	)	-	-	-	14	PUNC
16	.	.	-	-	-	14	PUNC
