1	С	с	S	S	Sp-l	11	вводн
2	2006	#год	M	M	Mc---d	3	опред
3	года	год	N	N	Ncmsgn	1	предл
4	постоянная	постоянный	A	A	Afpfsnf	5	опред
5	форма	форма	N	N	Ncfsnn	11	предик
6	фибрилляции	фибрилляция	N	N	Ncfsgn	5	квазиагент
7	предсердий	предсердие	N	N	Ncfpgn	6	1-компл
8	,	,	,	,	,	7	PUNC
9	прогрессирует	прогрессировать	V	V	Vmip3s-a-p	5	опред
10	сердечная	сердечный	A	A	Afpfsnf	11	опред
11	недостаточность	недостаточность	N	N	Ncfsnn	0	ROOT
12	(	(	-	-	-	11	PUNC
13	одышка	одышка	N	N	Ncfsnn	11	сочин
14	,	,	,	,	,	13	PUNC
15	слабость	слабость	N	N	Ncfsnn	13	сочин
16	,	,	,	,	,	15	PUNC
17	гидроторакс	гидроторакс	N	N	Ncmsnn	15	сочин
18	)	)	-	-	-	17	PUNC
