1	Последняя	последний	A	A	Afpfsnf	2	опред
2	госпитализация	госпитализация	N	N	Ncfsnn	3	предик
3	была	быть	V	V	Vmis-sfa-p	0	ROOT
4	с	с	S	S	Sp-l	10	обст
5	01.09.2010	#пдата	M	M	Mc---d	6	опред
6	г	г	N	N	Ncmsnnl	4	предл
7	по	по	S	S	Sp-l	4	соотнос
8	15.09.2010	#пдата	M	M	Mc---d	9	опред
9	г	г	N	N	Ncmsnnl	7	предл
10	в	в	S	S	Sp-l	3	присвяз
11	ГБ	гб	N	N	Npmsln	10	предл
12	№	№	-	-	-	11	нум-аппоз
13	3	#число	M	M	Mc---d	12	нум-аппоз
14	с	с	S	S	Sp-i	3	обст
15	диагнозом	диагноз	N	N	Ncmsin	14	предл
16	,	,	,	,	,	15	PUNC
17	ИБС	ибс	N	N	Npmsnn	15	аппоз
18	,	,	,	,	,	17	PUNC
19	прогрессирующая	прогрессировать	V	V	Vmpp-sfafpn	3	сент-соч
20	стенокардия	стенокардия	N	N	Ncfsnn	19	предик
