1	3	#число	M	M	Mc---d	2	количест
2	месяца	месяц	N	N	Ncmsgn	3	предл
3	назад	назад	R	R	R	9	обст
4	,	,	,	,	,	3	PUNC
5	со	со	S	S	Sp-g	3	уточн
6	слов	слово	N	N	Ncnpgn	5	предл
7	,	,	,	,	,	6	PUNC
8	доктор	доктор	N	N	Ncmsny	9	предик
9	отменил	отменить	V	V	Vmis-sma-e	0	ROOT
10	кордарон	кордарон	N	N	Ncmsan	9	1-компл
11	в	в	S	S	Sp-n	9	обст
12	связи	связь	N	N	Ncfsnnl	11	предл
13	с	с	S	S	Sp-i	12	1-компл
14	улучшением	улучшение	N	N	Ncnsin	13	предл
15	состояния	состояние	N	N	Ncnsgn	14	1-компл
16	,	,	,	,	,	15	PUNC
17	который	который	P	P	P--msaa	19	1-компл
18	она	она	P	P	P-3fsnn	19	предик
19	принимала	принимать	V	V	Vmis-sfa-p	15	релят
20	длительно	длительно	R	R	R	19	обст
21	по	по	S	S	Sp-d	19	обст
22	схеме	схема	N	N	Ncfsdn	21	предл
23	.	.	-	-	-	22	PUNC
