1	1.07.09	@card@	M	M	Mc---d	2	обст
2	выполнена	выполнить	V	V	Vmps-sfpse	0	ROOT
3	нефруретерэктомия	нефруретерэктомия	N	N	Ncfsnn	2	предик
4	с	с	S	S	Sp-i	3	атриб
5	резекцией	резекция	N	N	Ncfsin	4	предл
6	устья	устье	N	N	Ncnsgn	5	квазиагент
7	мочеточника	мочеточник	N	N	Ncmsgn	6	квазиагент
8	после	после	S	S	Sp-g	10	обст
9	операции	операция	N	N	Ncfsgn	8	предл
10	развился	развиться	V	V	Vmis-smm-e	2	сент-соч
11	затяжной	затяжной	A	A	Afpmsnf	13	опред
12	ангинозный	ангинозный	A	A	Afpmsnf	13	опред
13	приступ	приступ	N	N	Ncmsnn	10	предик
14	,	,	,	,	,	13	PUNC
15	выставлен	выставить	V	V	Vmps-smpse	13	опред
16	Ds	ds	-	-	-	18	квазиагент
17	прогрессирующая	прогрессировать	V	V	Vmpp-sfa-pn	18	опред
18	стенокардия	стенокардия	N	N	Ncfsnn	15	1-компл
19	,	,	,	,	,	18	PUNC
20	м/о	м/о	N	N	Ncnsnn	18	сочин
21	ИМ	они	P	P	P-3-pdn	20	1-компл

